[n]	[m]	[probability]
1350	1828	0.420628
1351	2100	0.425889
1352	1904	0.427614
1353	1822	0.613410
1354	596	0.487004
1355	1864	0.322820
1356	1664	0.356868
1357	976	0.167317
1358	1136	0.560213
1359	668	0.592833
1360	1494	0.658860
1361	1829	0.454453
1362	653	0.169291
1363	677	0.686511
1364	1670	0.506162
1365	953	0.651979
1366	655	0.483630
1367	736	0.304389
1368	2100	0.620332
1369	677	0.835618
1370	1885	0.693627
1371	1648	0.293561
1372	1543	0.717685
1373	1955	0.403031
1374	1423	0.548040
1375	2008	0.500177
1376	2046	0.679972
1377	1938	0.362954
1378	1924	0.447289
1379	2112	0.416649
1380	1688	0.918164
1381	1840	0.528345
1382	1645	0.660733
1383	839	0.672296
1384	1681	0.467024
1385	953	0.556909
1386	1387	0.276363
1387	635	0.243576
1388	2081	0.978164
1389	2223	0.314343
1390	1870	0.634856
1391	1962	0.598597
1392	662	0.767808
1393	683	0.361537
1394	1439	0.322040
1395	1870	0.549687
1396	1940	0.625703
1397	839	0.654640
1398	1924	0.500326
1399	1829	0.686121
1400	1982	0.310848
1401	2159	0.527812
1402	1543	0.908543
1403	1594	0.683701
1404	1558	0.438080
1405	1681	0.504009
1406	1607	0.265723
1407	1730	0.371625
1408	2046	0.598671
1409	1290	0.526530
1410	1595	0.724520
1411	2123	0.701085
1412	1993	0.855381
1413	1935	0.563201
1414	1472	0.514321
1415	2032	0.343604
1416	1935	0.448622
1417	2129	0.721209
1418	853	0.197532
1419	1938	0.451558
1420	1862	0.541674
1421	823	0.475748
1422	1941	0.399898
1423	2086	0.653752
1424	2027	0.399203
1425	2089	0.687951
1426	1688	0.764132
1427	852	0.295269
1428	1595	0.744880
1429	1978	0.883968
1430	862	0.459528
1431	899	0.291274
1432	1509	0.480977
1433	1915	0.811566
1434	1626	0.458935
1435	881	0.250734
