[n]	[m]	[probability]
1385	1410	0.491458
1386	1514	0.548044
1387	1689	0.320483
1388	1272	0.348298
1389	2058	0.447146
1390	1294	0.598440
1391	2045	0.693377
1392	1308	0.232738
1393	1660	0.501595
1394	2106	0.638989
1395	1780	0.328742
1396	2173	0.221653
1397	2059	0.577112
1398	2444	0.510295
1399	1506	0.183766
1400	2557	0.316292
1401	2191	0.283450
1402	2045	0.493186
1403	1327	0.306871
1404	1276	0.464274
1405	796	0.276813
1406	1083	0.378132
1407	727	0.704938
1408	1294	0.732839
1409	1366	0.401108
1410	1402	0.483207
1411	1999	0.758031
1412	1366	0.293990
1413	2058	0.446722
1414	2217	0.526977
1415	1447	0.910082
1416	2244	0.554719
1417	2186	0.551440
1418	1342	0.476063
1419	2487	0.625516
1420	2217	0.638209
1421	2173	0.237175
1422	2180	0.295750
1423	2478	0.465936
1424	1397	0.199684
1425	1109	0.452902
1426	2121	0.762145
1427	1813	0.553791
1428	1942	0.904520
1429	2158	0.804645
1430	1464	0.412833
1431	2152	0.736364
1432	1272	0.484495
1433	2136	0.844978
1434	1343	0.606375
1435	1872	0.446484
