[n]	[m]	[probability]
1301	1322	0.598797
1302	1655	0.414586
1303	1780	0.183777
1304	1570	0.619381
1305	1435	0.304922
1306	1482	0.253430
1307	757	0.193811
1308	1665	0.482749
1309	1489	0.221070
1310	1037	0.521679
1311	1395	0.456501
1312	2422	1.000000
1313	1445	0.633327
1314	1037	0.676841
1315	1531	0.493607
1316	1419	0.131132
1317	1059	0.469992
1318	1368	0.265214
1319	2165	1.000000
1320	1382	0.269599
1321	1540	0.507087
1322	1009	0.352954
1323	1697	0.187236
1324	1577	0.332834
1325	1609	0.450689
1326	1717	0.265675
1327	1542	0.192952
1328	1414	0.463289
1329	1523	0.166833
1330	1605	0.353349
1331	1482	0.194622
1332	1600	0.583732
1333	1029	0.448315
1334	1598	0.228500
1335	1615	0.574478
1336	1361	1.000000
1337	1609	0.579233
1338	1343	0.706387
1339	1487	0.197455
1340	1267	0.334650
1341	1535	0.259936
1342	1665	0.450790
1343	1423	0.326264
1344	1546	0.253247
1345	1508	0.463563
1346	1751	0.168213
1347	1542	0.216850
1348	1384	0.289029
1349	1361	0.991774
1350	1503	0.289228
1351	2080	0.620227
1352	1384	0.369675
1353	1599	0.233821
1354	786	0.339524
1355	1535	0.396358
1356	1334	0.414211
1357	1617	0.251347
1358	1540	0.305210
1359	1553	0.320485
1360	1494	0.478450
1361	1609	0.426912
1362	1751	0.178218
1363	1245	0.285234
1364	1379	0.314851
1365	1780	0.234972
1366	1178	0.171714
1367	1622	0.169708
1368	1858	0.573270
1369	906	0.378390
1370	1202	0.341680
1371	1436	0.421408
1372	1654	0.304537
1373	1619	0.431562
1374	1545	0.312747
1375	1858	0.572060
1376	2181	0.278887
1377	1517	0.259705
1378	1517	0.214531
1379	1361	1.000000
1380	1289	0.651668
1381	1711	0.368769
1382	1485	0.306295
1383	1236	0.239286
1384	1343	0.421145
1385	1762	0.203033
1386	1549	0.524036
1387	990	0.317406
1388	1361	0.904816
1389	2348	1.000000
1390	1565	0.426152
1391	1627	0.376724
1392	1572	0.158959
1393	1636	0.391175
1394	1561	0.263666
1395	1565	0.498989
1396	1589	0.498457
1397	1236	0.258917
1398	1517	0.230984
1399	1711	0.266879
1400	1548	0.636648
1401	2458	1.000000
1402	1654	0.285693
1403	1461	0.382084
1404	1597	0.479911
1405	1576	0.424352
1406	1597	0.363765
1407	1763	0.389481
1408	2181	0.271547
1409	1667	0.329453
1410	1675	0.377906
1411	2080	0.789403
1412	1519	0.421426
1413	1695	0.378049
1414	1439	0.220732
1415	1552	0.292092
1416	1692	0.371316
1417	2215	0.274509
1418	1785	0.171927
1419	1517	0.313553
1420	1759	0.361812
1421	1644	0.194025
1422	1619	0.726304
1423	1847	0.486800
1424	1619	0.453180
1425	1638	0.530695
1426	1289	0.487565
1427	1690	0.505467
1428	1595	0.257054
1429	1748	0.613772
1430	1499	0.246915
1431	1690	0.324755
1432	1612	0.507040
1433	1810	0.825315
1434	1701	0.512149
1435	1463	0.311442
1436	1776	0.495169
1437	1705	0.301257
1438	1864	0.221991
